unidade;servicos;mes_ano;total
ACAILANDIA;BENEFICIO BAIXA RENDA;2025-01;13
ACAILANDIA;BENEFICIO BAIXA RENDA;2025-02;10
ACAILANDIA;BENEFICIO BAIXA RENDA;2025-03;10
ACAILANDIA;BENEFICIO BAIXA RENDA;2025-04;7
ACAILANDIA;BENEFICIO BAIXA RENDA;2025-05;20
ACAILANDIA;BENEFICIO BAIXA RENDA;2025-06;13
ACAILANDIA;BENEFICIO BAIXA RENDA;2025-07;21
ACAILANDIA;BENEFICIO BAIXA RENDA;2025-08;30
ACAILANDIA;BENEFICIO BAIXA RENDA;2025-09;26
ACAILANDIA;BENEFICIO BAIXA RENDA;2025-10;32
ACAILANDIA;BOLETO DE PARTICIPAÇÃO EM OBRAS (ACEITE);2025-03;1
ACAILANDIA;CADASTRO BAIXA RENDA;2023-01;375
ACAILANDIA;CADASTRO BAIXA RENDA;2023-02;341
ACAILANDIA;CADASTRO BAIXA RENDA;2023-03;450
ACAILANDIA;CADASTRO BAIXA RENDA;2023-04;298
ACAILANDIA;CADASTRO BAIXA RENDA;2023-05;392
ACAILANDIA;CADASTRO BAIXA RENDA;2023-06;285
ACAILANDIA;CADASTRO BAIXA RENDA;2023-07;240
ACAILANDIA;CADASTRO BAIXA RENDA;2023-08;348
ACAILANDIA;CADASTRO BAIXA RENDA;2023-09;413
ACAILANDIA;CADASTRO BAIXA RENDA;2023-10;432
ACAILANDIA;CADASTRO BAIXA RENDA;2023-11;380
ACAILANDIA;CADASTRO BAIXA RENDA;2023-12;177
ACAILANDIA;CADASTRO BAIXA RENDA;2024-01;194
ACAILANDIA;CADASTRO BAIXA RENDA;2024-02;188
ACAILANDIA;CADASTRO BAIXA RENDA;2024-03;144
ACAILANDIA;CADASTRO BAIXA RENDA;2024-04;190
ACAILANDIA;CADASTRO BAIXA RENDA;2024-05;150
ACAILANDIA;CADASTRO BAIXA RENDA;2024-06;153
ACAILANDIA;CADASTRO BAIXA RENDA;2024-07;154
ACAILANDIA;CADASTRO BAIXA RENDA;2024-08;118
ACAILANDIA;CADASTRO BAIXA RENDA;2024-09;103
ACAILANDIA;CADASTRO BAIXA RENDA;2024-10;100
ACAILANDIA;CADASTRO BAIXA RENDA;2024-11;120
ACAILANDIA;CADASTRO BAIXA RENDA;2024-12;94
ACAILANDIA;CADASTRO BAIXA RENDA;2025-01;95
ACAILANDIA;CADASTRO BAIXA RENDA;2025-02;83
ACAILANDIA;CADASTRO BAIXA RENDA;2025-03;119
ACAILANDIA;CADASTRO BAIXA RENDA;2025-04;139
ACAILANDIA;CADASTRO BAIXA RENDA;2025-05;88
ACAILANDIA;CADASTRO BAIXA RENDA;2025-06;94
ACAILANDIA;CADASTRO BAIXA RENDA;2025-07;124
ACAILANDIA;CADASTRO BAIXA RENDA;2025-08;98
ACAILANDIA;CADASTRO BAIXA RENDA;2025-09;136
ACAILANDIA;CADASTRO BAIXA RENDA;2025-10;70
ACAILANDIA;CANCELAMENTO ATIVIDADE ACESSORIAS;2023-01;6
ACAILANDIA;CANCELAMENTO ATIVIDADE ACESSORIAS;2023-02;2
ACAILANDIA;CANCELAMENTO ATIVIDADE ACESSORIAS;2023-03;4
ACAILANDIA;CANCELAMENTO ATIVIDADE ACESSORIAS;2023-04;5
ACAILANDIA;CANCELAMENTO ATIVIDADE ACESSORIAS;2023-05;8
ACAILANDIA;CANCELAMENTO ATIVIDADE ACESSORIAS;2023-06;11
ACAILANDIA;CANCELAMENTO ATIVIDADE ACESSORIAS;2023-07;9
ACAILANDIA;CANCELAMENTO ATIVIDADE ACESSORIAS;2023-08;5
ACAILANDIA;CANCELAMENTO ATIVIDADE ACESSORIAS;2023-09;5
ACAILANDIA;CANCELAMENTO ATIVIDADE ACESSORIAS;2023-10;8
ACAILANDIA;CANCELAMENTO ATIVIDADE ACESSORIAS;2023-11;6
ACAILANDIA;CANCELAMENTO ATIVIDADE ACESSORIAS;2023-12;5
ACAILANDIA;CANCELAMENTO ATIVIDADE ACESSORIAS;2024-01;7
ACAILANDIA;CANCELAMENTO ATIVIDADE ACESSORIAS;2024-02;10
ACAILANDIA;CANCELAMENTO ATIVIDADE ACESSORIAS;2024-03;6
ACAILANDIA;CANCELAMENTO ATIVIDADE ACESSORIAS;2024-04;11
ACAILANDIA;CANCELAMENTO ATIVIDADE ACESSORIAS;2024-05;8
ACAILANDIA;CANCELAMENTO ATIVIDADE ACESSORIAS;2024-06;4
ACAILANDIA;CANCELAMENTO ATIVIDADE ACESSORIAS;2024-07;9
ACAILANDIA;CANCELAMENTO ATIVIDADE ACESSORIAS;2024-08;4
ACAILANDIA;CANCELAMENTO ATIVIDADE ACESSORIAS;2024-09;4
ACAILANDIA;CANCELAMENTO ATIVIDADE ACESSORIAS;2024-10;5
ACAILANDIA;CANCELAMENTO ATIVIDADE ACESSORIAS;2024-11;13
ACAILANDIA;CANCELAMENTO ATIVIDADE ACESSORIAS;2024-12;4
ACAILANDIA;CANCELAMENTO ATIVIDADE ACESSORIAS;2025-01;4
ACAILANDIA;CANCELAMENTO ATIVIDADE ACESSORIAS;2025-02;2
ACAILANDIA;CANCELAMENTO ATIVIDADE ACESSORIAS;2025-03;5
ACAILANDIA;CANCELAMENTO ATIVIDADE ACESSORIAS;2025-04;1
ACAILANDIA;CANCELAMENTO ATIVIDADE ACESSORIAS;2025-05;2
ACAILANDIA;CANCELAMENTO ATIVIDADE ACESSORIAS;2025-06;7
ACAILANDIA;CANCELAMENTO ATIVIDADE ACESSORIAS;2025-07;3
ACAILANDIA;CANCELAMENTO ATIVIDADE ACESSORIAS;2025-08;3
ACAILANDIA;CANCELAMENTO ATIVIDADE ACESSORIAS;2025-09;5
ACAILANDIA;CANCELAMENTO ATIVIDADE ACESSORIAS;2025-10;9
ACAILANDIA;CANCELAMENTO DE FINANCIAMENTO DE PADRÃO;2024-03;1
ACAILANDIA;CANCELAMENTO DE FINANCIAMENTO DE PADRÃO;2024-06;1
ACAILANDIA;CANCELAMENTO DE FINANCIAMENTO DE PADRÃO;2025-01;1
ACAILANDIA;CANCELAMENTO DE FINANCIAMENTO DE PADRÃO;2025-05;1
ACAILANDIA;CANCELAMENTO DE FINANCIAMENTO DE PADRÃO;2025-09;2
ACAILANDIA;CLASSIFICAÇÃO;2023-01;1
ACAILANDIA;CLASSIFICAÇÃO;2023-02;2
ACAILANDIA;CLASSIFICAÇÃO;2023-03;3
ACAILANDIA;CLASSIFICAÇÃO;2023-04;1
ACAILANDIA;CLASSIFICAÇÃO;2023-11;1
ACAILANDIA;CLASSIFICAÇÃO;2024-01;1
ACAILANDIA;CLASSIFICAÇÃO;2024-04;2
ACAILANDIA;CLASSIFICAÇÃO;2025-01;3
ACAILANDIA;CLASSIFICAÇÃO;2025-02;11
ACAILANDIA;CLASSIFICAÇÃO;2025-03;3
ACAILANDIA;CLASSIFICAÇÃO;2025-05;5
ACAILANDIA;CLASSIFICAÇÃO;2025-06;6
ACAILANDIA;CLASSIFICAÇÃO;2025-07;7
ACAILANDIA;CLASSIFICAÇÃO;2025-08;8
ACAILANDIA;CLASSIFICAÇÃO;2025-09;13
ACAILANDIA;CLASSIFICAÇÃO;2025-10;8
ACAILANDIA;CONSULTA DE PROTOCOLO;2025-04;2
ACAILANDIA;CONSULTA DE PROTOCOLO;2025-07;1
ACAILANDIA;CONSULTA NEGATIVAÇÃO;2025-03;1
ACAILANDIA;CONSULTA NEGATIVAÇÃO;2025-04;1
ACAILANDIA;CONSULTA NEGATIVAÇÃO;2025-07;2
ACAILANDIA;CONSULTA NEGATIVAÇÃO;2025-08;1
ACAILANDIA;CONSULTA NEGATIVAÇÃO;2025-09;1
ACAILANDIA;CONSULTA NEGATIVAÇÃO;2025-10;1
ACAILANDIA;CONTA ALTA;2023-01;19
ACAILANDIA;CONTA ALTA;2023-02;24
ACAILANDIA;CONTA ALTA;2023-03;15
ACAILANDIA;CONTA ALTA;2023-04;16
ACAILANDIA;CONTA ALTA;2023-05;9
ACAILANDIA;CONTA ALTA;2023-06;22
ACAILANDIA;CONTA ALTA;2023-07;14
ACAILANDIA;CONTA ALTA;2023-08;28
ACAILANDIA;CONTA ALTA;2023-09;32
ACAILANDIA;CONTA ALTA;2023-10;21
ACAILANDIA;CONTA ALTA;2023-11;13
ACAILANDIA;CONTA ALTA;2023-12;10
ACAILANDIA;CONTA ALTA;2025-01;1
ACAILANDIA;CONTA ALTA;2025-02;16
ACAILANDIA;CONTA ALTA;2025-03;2
ACAILANDIA;CONTA ALTA;2025-04;2
ACAILANDIA;CONTA ALTA;2025-05;2
ACAILANDIA;CONTA ALTA;2025-06;2
ACAILANDIA;CONTA ALTA;2025-07;5
ACAILANDIA;CONTA ALTA;2025-08;7
ACAILANDIA;CONTA ALTA;2025-09;6
ACAILANDIA;CONTA ALTA;2025-10;5
ACAILANDIA;CORTE;2023-01;157
ACAILANDIA;CORTE;2023-02;131
ACAILANDIA;CORTE;2023-03;160
ACAILANDIA;CORTE;2023-04;27
ACAILANDIA;CORTE;2023-05;49
ACAILANDIA;CORTE;2023-06;28
ACAILANDIA;CORTE;2023-07;15
ACAILANDIA;CORTE;2023-08;45
ACAILANDIA;CORTE;2023-09;50
ACAILANDIA;CORTE;2023-10;17
ACAILANDIA;CORTE;2023-11;18
ACAILANDIA;CORTE;2023-12;1
ACAILANDIA;CORTE;2024-01;3
ACAILANDIA;CORTE;2024-10;1
ACAILANDIA;CORTE;2025-01;5
ACAILANDIA;CORTE;2025-02;3
ACAILANDIA;CORTE;2025-03;3
ACAILANDIA;CORTE;2025-05;1
ACAILANDIA;CORTE;2025-08;1
ACAILANDIA;CSA - ALTERAÇÃO DE VENCIMENTO;2023-09;1
ACAILANDIA;CSA - ALTERAÇÃO DE VENCIMENTO;2023-12;1
ACAILANDIA;CSA - ALTERAÇÃO DE VENCIMENTO;2024-07;1
ACAILANDIA;CSA - ALTERAÇÃO DE VENCIMENTO;2025-06;1
ACAILANDIA;CSA - ALTERAÇÃO DE VENCIMENTO;2025-07;1
ACAILANDIA;CSA - ALTERAÇÃO DE VENCIMENTO;2025-08;2
ACAILANDIA;CSA - ALTERAÇÃO DE VENCIMENTO;2025-09;1
ACAILANDIA;DANOS ELÉTRICOS;2023-01;26
ACAILANDIA;DANOS ELÉTRICOS;2023-02;9
ACAILANDIA;DANOS ELÉTRICOS;2023-03;10
ACAILANDIA;DANOS ELÉTRICOS;2023-04;14
ACAILANDIA;DANOS ELÉTRICOS;2023-05;12
ACAILANDIA;DANOS ELÉTRICOS;2023-06;2
ACAILANDIA;DANOS ELÉTRICOS;2023-07;2
ACAILANDIA;DANOS ELÉTRICOS;2023-08;8
ACAILANDIA;DANOS ELÉTRICOS;2023-09;6
ACAILANDIA;DANOS ELÉTRICOS;2023-10;8
ACAILANDIA;DANOS ELÉTRICOS;2023-11;5
ACAILANDIA;DANOS ELÉTRICOS;2023-12;12
ACAILANDIA;DANOS ELÉTRICOS;2024-01;10
ACAILANDIA;DANOS ELÉTRICOS;2024-02;5
ACAILANDIA;DANOS ELÉTRICOS;2024-03;5
ACAILANDIA;DANOS ELÉTRICOS;2024-04;9
ACAILANDIA;DANOS ELÉTRICOS;2024-05;12
ACAILANDIA;DANOS ELÉTRICOS;2024-06;1
ACAILANDIA;DANOS ELÉTRICOS;2024-07;1
ACAILANDIA;DANOS ELÉTRICOS;2024-08;3
ACAILANDIA;DANOS ELÉTRICOS;2024-09;6
ACAILANDIA;DANOS ELÉTRICOS;2024-10;4
ACAILANDIA;DANOS ELÉTRICOS;2024-11;6
ACAILANDIA;DANOS ELÉTRICOS;2024-12;4
ACAILANDIA;DANOS ELÉTRICOS;2025-01;19
ACAILANDIA;DANOS ELÉTRICOS;2025-02;10
ACAILANDIA;DANOS ELÉTRICOS;2025-03;7
ACAILANDIA;DANOS ELÉTRICOS;2025-04;6
ACAILANDIA;DANOS ELÉTRICOS;2025-05;6
ACAILANDIA;DANOS ELÉTRICOS;2025-06;9
ACAILANDIA;DANOS ELÉTRICOS;2025-07;7
ACAILANDIA;DANOS ELÉTRICOS;2025-08;4
ACAILANDIA;DANOS ELÉTRICOS;2025-10;1
ACAILANDIA;DANOS NÃO ELÉTRICOS;2025-05;1
ACAILANDIA;DANOS NÃO ELÉTRICOS;2025-06;2
ACAILANDIA;DANOS NÃO ELÉTRICOS;2025-07;1
ACAILANDIA;DENUNCIA DE FRAUDE;2023-01;2
ACAILANDIA;DENUNCIA DE FRAUDE;2023-04;1
ACAILANDIA;DENUNCIA DE FRAUDE;2023-05;1
ACAILANDIA;DENUNCIA DE FRAUDE;2023-06;1
ACAILANDIA;DENUNCIA DE FRAUDE;2023-07;1
ACAILANDIA;DENUNCIA DE FRAUDE;2024-01;1
ACAILANDIA;DENUNCIA DE FRAUDE;2024-08;2
ACAILANDIA;DENUNCIA DE FRAUDE;2024-11;1
ACAILANDIA;DENUNCIA DE FRAUDE;2025-07;1
ACAILANDIA;DESLIGAMENTO PROGRAMADO;2023-01;107
ACAILANDIA;DESLIGAMENTO PROGRAMADO;2023-02;60
ACAILANDIA;DESLIGAMENTO PROGRAMADO;2023-03;72
ACAILANDIA;DESLIGAMENTO PROGRAMADO;2023-04;64
ACAILANDIA;DESLIGAMENTO PROGRAMADO;2023-05;66
ACAILANDIA;DESLIGAMENTO PROGRAMADO;2023-06;61
ACAILANDIA;DESLIGAMENTO PROGRAMADO;2023-07;55
ACAILANDIA;DESLIGAMENTO PROGRAMADO;2023-08;74
ACAILANDIA;DESLIGAMENTO PROGRAMADO;2023-09;53
ACAILANDIA;DESLIGAMENTO PROGRAMADO;2023-10;68
ACAILANDIA;DESLIGAMENTO PROGRAMADO;2023-11;55
ACAILANDIA;DESLIGAMENTO PROGRAMADO;2023-12;37
ACAILANDIA;DESLIGAMENTO PROGRAMADO;2024-01;77
ACAILANDIA;DESLIGAMENTO PROGRAMADO;2024-02;46
ACAILANDIA;DESLIGAMENTO PROGRAMADO;2024-03;41
ACAILANDIA;DESLIGAMENTO PROGRAMADO;2024-04;51
ACAILANDIA;DESLIGAMENTO PROGRAMADO;2024-05;55
ACAILANDIA;DESLIGAMENTO PROGRAMADO;2024-06;52
ACAILANDIA;DESLIGAMENTO PROGRAMADO;2024-07;63
ACAILANDIA;DESLIGAMENTO PROGRAMADO;2024-08;70
ACAILANDIA;DESLIGAMENTO PROGRAMADO;2024-09;56
ACAILANDIA;DESLIGAMENTO PROGRAMADO;2024-10;48
ACAILANDIA;DESLIGAMENTO PROGRAMADO;2024-11;70
ACAILANDIA;DESLIGAMENTO PROGRAMADO;2024-12;58
ACAILANDIA;DESLIGAMENTO PROGRAMADO;2025-01;53
ACAILANDIA;DESLIGAMENTO PROGRAMADO;2025-02;57
ACAILANDIA;DESLIGAMENTO PROGRAMADO;2025-03;41
ACAILANDIA;DESLIGAMENTO PROGRAMADO;2025-04;48
ACAILANDIA;DESLIGAMENTO PROGRAMADO;2025-05;46
ACAILANDIA;DESLIGAMENTO PROGRAMADO;2025-06;46
ACAILANDIA;DESLIGAMENTO PROGRAMADO;2025-07;61
ACAILANDIA;DESLIGAMENTO PROGRAMADO;2025-08;40
ACAILANDIA;DESLIGAMENTO PROGRAMADO;2025-09;41
ACAILANDIA;DESLIGAMENTO PROGRAMADO;2025-10;30
ACAILANDIA;DESLOCAMENTO DE RAMAL;2023-02;1
ACAILANDIA;DESLOCAMENTO DE RAMAL;2023-03;3
ACAILANDIA;DESLOCAMENTO DE RAMAL;2023-04;1
ACAILANDIA;DESLOCAMENTO DE RAMAL;2023-06;3
ACAILANDIA;DESLOCAMENTO DE RAMAL;2023-07;1
ACAILANDIA;DESLOCAMENTO DE RAMAL;2023-08;2
ACAILANDIA;DESLOCAMENTO DE RAMAL;2023-09;1
ACAILANDIA;DESLOCAMENTO DE RAMAL;2023-10;1
ACAILANDIA;DESLOCAMENTO DE RAMAL;2023-11;6
ACAILANDIA;DESLOCAMENTO DE RAMAL;2023-12;3
ACAILANDIA;DESLOCAMENTO DE RAMAL;2024-01;4
ACAILANDIA;DESLOCAMENTO DE RAMAL;2024-02;1
ACAILANDIA;DESLOCAMENTO DE RAMAL;2024-03;8
ACAILANDIA;DESLOCAMENTO DE RAMAL;2024-04;4
ACAILANDIA;DESLOCAMENTO DE RAMAL;2024-05;6
ACAILANDIA;DESLOCAMENTO DE RAMAL;2024-06;2
ACAILANDIA;DESLOCAMENTO DE RAMAL;2024-07;5
ACAILANDIA;DESLOCAMENTO DE RAMAL;2024-08;7
ACAILANDIA;DESLOCAMENTO DE RAMAL;2024-09;6
ACAILANDIA;DESLOCAMENTO DE RAMAL;2024-10;2
ACAILANDIA;DESLOCAMENTO DE RAMAL;2024-11;2
ACAILANDIA;DESLOCAMENTO DE RAMAL;2024-12;6
ACAILANDIA;DESLOCAMENTO DE RAMAL;2025-01;5
ACAILANDIA;DESLOCAMENTO DE RAMAL;2025-02;2
ACAILANDIA;DESLOCAMENTO DE RAMAL;2025-03;5
ACAILANDIA;DESLOCAMENTO DE RAMAL;2025-04;6
ACAILANDIA;DESLOCAMENTO DE RAMAL;2025-05;3
ACAILANDIA;DESLOCAMENTO DE RAMAL;2025-06;1
ACAILANDIA;DESLOCAMENTO DE RAMAL;2025-07;4
ACAILANDIA;DESLOCAMENTO DE RAMAL;2025-08;3
ACAILANDIA;DESLOCAMENTO DE RAMAL;2025-09;7
ACAILANDIA;DESLOCAMENTO DE RAMAL;2025-10;2
ACAILANDIA;DEVOLUÇÃO DE CRÉDITO;2023-01;3
ACAILANDIA;DEVOLUÇÃO DE CRÉDITO;2023-02;2
ACAILANDIA;DEVOLUÇÃO DE CRÉDITO;2023-03;3
ACAILANDIA;DEVOLUÇÃO DE CRÉDITO;2023-04;3
ACAILANDIA;DEVOLUÇÃO DE CRÉDITO;2023-05;3
ACAILANDIA;DEVOLUÇÃO DE CRÉDITO;2023-07;3
ACAILANDIA;DEVOLUÇÃO DE CRÉDITO;2023-08;5
ACAILANDIA;DEVOLUÇÃO DE CRÉDITO;2023-09;9
ACAILANDIA;DEVOLUÇÃO DE CRÉDITO;2023-10;3
ACAILANDIA;DEVOLUÇÃO DE CRÉDITO;2023-11;11
ACAILANDIA;DEVOLUÇÃO DE CRÉDITO;2023-12;4
ACAILANDIA;DEVOLUÇÃO DE CRÉDITO;2024-01;13
ACAILANDIA;DEVOLUÇÃO DE CRÉDITO;2024-02;4
ACAILANDIA;DEVOLUÇÃO DE CRÉDITO;2024-03;1
ACAILANDIA;DEVOLUÇÃO DE CRÉDITO;2024-04;3
ACAILANDIA;DEVOLUÇÃO DE CRÉDITO;2024-05;2
ACAILANDIA;DEVOLUÇÃO DE CRÉDITO;2024-06;4
